game_id,score_margin_2_mins_home,abs_score_margin_2_mins,close_game
20800555,0,0,True
20800556,-5,5,True
20800557,-14,14,False
20800558,5,5,True
20800559,2,2,True
20800560,-20,20,False
20800561,-2,2,True
20800562,-4,4,True
20800563,-2,2,True
20800564,0,0,True
20800565,-37,37,False
20800566,-1,1,True
20800567,21,21,False
20800568,-2,2,True
20800569,31,31,False
20800570,8,8,True
20800571,-4,4,True
20800572,17,17,False
20800573,-6,6,True
20800574,-1,1,True
20800575,-4,4,True
20800576,-13,13,False
20800577,-6,6,True
20800578,-2,2,True
20800579,-1,1,True
20800580,5,5,True
20800581,21,21,False
20800582,-1,1,True
20800583,13,13,False
20800584,-7,7,True
20800585,15,15,False
20800586,1,1,True
20800587,-7,7,True
20800588,2,2,True
20800589,1,1,True
20800590,-22,22,False
20800591,2,2,True
20800592,-2,2,True
20800593,-9,9,True
20800594,1,1,True
20800595,11,11,False
20800596,4,4,True
20800597,-15,15,False
20800598,5,5,True
20800599,-3,3,True
20800600,-15,15,False
20800601,0,0,True
20800602,-10,10,False
20800603,-2,2,True
20800604,-4,4,True
20800605,4,4,True
20800606,-4,4,True
20800607,3,3,True
20800608,20,20,False
20800609,-4,4,True
20800610,21,21,False
20800611,11,11,False
20800612,10,10,False
20800613,-6,6,True
20800614,19,19,False
20800615,30,30,False
20800616,4,4,True
20800617,11,11,False
20800618,17,17,False
20800619,-19,19,False
20800620,7,7,True
20800621,37,37,False
20800622,5,5,True
20800623,6,6,True
20800624,-7,7,True
20800625,-6,6,True
20800626,0,0,True
20800627,-7,7,True
20800628,-7,7,True
20800629,22,22,False
20800630,21,21,False
20800631,-16,16,False
20800632,7,7,True
20800633,29,29,False
20800634,18,18,False
20800635,5,5,True
20800636,-12,12,False
20800637,1,1,True
20800638,-1,1,True
20800639,8,8,True
20800640,2,2,True
20800641,4,4,True
20800642,-8,8,True
20800643,2,2,True
20800644,-5,5,True
20800645,14,14,False
20800646,25,25,False
20800647,16,16,False
20800648,-4,4,True
20800649,17,17,False
20800650,-4,4,True
20800651,3,3,True
20800652,-2,2,True
20800653,20,20,False
20800654,21,21,False
20800655,-10,10,False
20800656,16,16,False
20800657,1,1,True
20800658,-5,5,True
20800659,7,7,True
20800660,14,14,False
20800661,-20,20,False
20800662,10,10,False
20800663,25,25,False
20800664,-17,17,False
20800665,-3,3,True
20800666,-5,5,True
20800667,4,4,True
20800668,19,19,False
20800669,20,20,False
20800670,-5,5,True
20800671,8,8,True
20800672,-1,1,True
20800673,16,16,False
20800674,6,6,True
20800675,-4,4,True
20800676,22,22,False
20800677,16,16,False
20800678,-23,23,False
20800679,14,14,False
20800680,-4,4,True
20800681,-7,7,True
20800682,11,11,False
20800683,7,7,True
20800684,-9,9,True
20800685,15,15,False
20800686,19,19,False
20800687,-12,12,False
20800688,18,18,False
20800689,21,21,False
20800690,-4,4,True
20800691,-23,23,False
20800692,-11,11,False
20800693,2,2,True
20800694,-10,10,False
20800695,-14,14,False
20800696,11,11,False
20800697,14,14,False
20800698,10,10,False
20800699,10,10,False
20800700,-10,10,False
20800701,18,18,False
20800702,6,6,True
20800703,-19,19,False
20800704,-8,8,True
20800705,2,2,True
20800706,-11,11,False
20800707,-12,12,False
20800708,18,18,False
20800709,-20,20,False
20800710,-4,4,True
20800711,45,45,False
20800712,16,16,False
20800713,2,2,True
20800714,16,16,False
20800715,-4,4,True
20800716,5,5,True
20800717,15,15,False
20800718,12,12,False
20800719,4,4,True
20800720,34,34,False
20800721,-6,6,True
20800722,-27,27,False
20800723,2,2,True
20800724,-1,1,True
20800725,9,9,True
20800726,-4,4,True
20800727,-13,13,False
20800728,-1,1,True
20800729,11,11,False
20800730,16,16,False
20800731,4,4,True
20800732,2,2,True
20800733,24,24,False
20800734,-5,5,True
20800735,5,5,True
20800736,-13,13,False
20800737,-23,23,False
20800738,6,6,True
20800739,10,10,False
20800740,-26,26,False
20800741,-1,1,True
20800742,6,6,True
20800743,-27,27,False
20800744,11,11,False
20800745,39,39,False
20800746,6,6,True
20800747,-5,5,True
20800748,17,17,False
20800749,3,3,True
20800750,1,1,True
20800751,-7,7,True
20800752,6,6,True
20800753,13,13,False
20800754,-4,4,True
20800755,-3,3,True
20800756,0,0,True
20800757,6,6,True
20800758,-8,8,True
20800759,20,20,False
20800760,20,20,False
20800761,16,16,False
20800762,7,7,True
20800763,19,19,False
20800764,19,19,False
20800765,4,4,True
20800766,-18,18,False
20800767,-14,14,False
20800768,-6,6,True
20800769,-4,4,True
20800770,24,24,False
20800771,18,18,False
20800772,8,8,True
20800773,11,11,False
20800774,19,19,False
20800775,-6,6,True
20800776,0,0,True
20800777,-3,3,True
20800778,-5,5,True
20800779,5,5,True
20800780,-12,12,False
20800781,13,13,False
20800782,2,2,True
20800783,13,13,False
20800784,-2,2,True
20800785,-3,3,True
20800786,-3,3,True
20800787,5,5,True
20800788,9,9,True
20800789,0,0,True
20800790,-1,1,True
20800791,-4,4,True
20800792,1,1,True
20800793,-1,1,True
20800794,26,26,False
20800795,52,52,False
20800796,18,18,False
20800797,21,21,False
20800798,8,8,True
20800799,-19,19,False
20800800,-1,1,True
20800801,-10,10,False
20800802,30,30,False
20800803,-15,15,False
20800804,12,12,False
20800805,2,2,True
20800806,-2,2,True
20800807,-8,8,True
20800808,-24,24,False
20800809,-1,1,True
20800810,0,0,True
20800811,-14,14,False
20800812,26,26,False
20800813,-7,7,True
20800814,-10,10,False
20800815,-11,11,False
20800816,15,15,False
20800817,5,5,True
20800818,-8,8,True
20800819,17,17,False
20800820,14,14,False
20800821,-2,2,True
