game_id,final_score_margin,winning_team
20900275,9,home
20900276,16,home
20900277,6,home
20900278,9,home
20900279,-18,away
20900280,9,home
20900281,1,home
20900282,1,home
20900283,-32,away
20900284,7,home
20900285,-7,away
20900286,-5,away
20900287,8,home
20900288,1,home
20900289,-8,away
20900290,16,home
20900291,9,home
20900292,-15,away
20900293,4,home
20900294,-13,away
20900295,20,home
20900296,-10,away
20900297,9,home
20900298,16,home
20900299,3,home
20900300,12,home
20900301,6,home
20900302,9,home
20900303,-2,away
20900304,0,away
20900305,2,home
20900306,1,home
20900307,-11,away
20900308,35,home
20900309,-11,away
20900310,-4,away
20900311,-16,away
20900312,22,home
20900313,-1,away
20900314,10,home
20900315,12,home
20900316,24,home
20900317,2,home
20900318,-2,away
20900319,9,home
20900320,16,home
20900321,-5,away
20900322,-22,away
20900323,-13,away
20900324,0,away
20900325,5,home
20900326,-8,away
20900327,-17,away
20900328,19,home
20900329,12,home
20900330,3,home
20900331,-1,away
20900332,9,home
20900333,-26,away
20900334,0,away
20900335,0,away
20900336,6,home
20900337,8,home
20900338,20,home
20900339,13,home
20900340,23,home
20900341,-28,away
20900342,-13,away
20900343,-25,away
20900344,8,home
20900345,16,home
20900346,-5,away
20900347,4,home
20900348,9,home
20900349,-2,away
20900350,2,home
20900351,7,home
20900352,10,home
20900353,20,home
20900354,-9,away
20900355,11,home
20900356,12,home
20900357,7,home
20900358,13,home
20900359,3,home
20900360,19,home
20900361,-7,away
20900362,-16,away
20900363,0,away
20900364,-25,away
20900365,8,home
20900366,-14,away
20900367,10,home
20900368,3,home
20900369,-12,away
20900370,9,home
20900371,18,home
20900372,3,home
20900373,23,home
20900374,13,home
20900375,-1,away
20900376,3,home
20900377,13,home
20900378,16,home
20900379,6,home
20900380,4,home
20900381,11,home
20900382,0,away
20900383,-9,away
20900384,-8,away
20900385,9,home
20900386,0,away
20900387,0,away
20900388,-19,away
20900389,5,home
20900390,-1,away
20900391,1,home
20900392,26,home
20900393,6,home
20900394,6,home
20900395,18,home
20900396,-12,away
20900397,-7,away
20900398,7,home
20900399,4,home
20900400,-3,away
20900401,5,home
20900402,-4,away
20900403,16,home
20900404,-18,away
20900405,12,home
20900406,7,home
20900407,9,home
20900408,7,home
20900409,13,home
20900410,-25,away
20900411,-4,away
20900412,9,home
20900413,3,home
20900414,15,home
20900415,-30,away
20900416,10,home
20900417,-4,away
20900418,-12,away
20900419,6,home
20900420,-4,away
20900421,20,home
20900422,-4,away
20900423,0,away
20900424,-6,away
20900425,-9,away
20900426,-15,away
20900427,31,home
20900428,11,home
20900429,5,home
20900430,-12,away
20900431,-5,away
20900432,11,home
20900433,12,home
20900434,7,home
20900435,-15,away
20900436,21,home
20900437,0,away
20900438,5,home
20900439,7,home
20900440,25,home
20900441,34,home
20900442,-7,away
20900443,-8,away
20900444,2,home
20900445,10,home
20900446,-16,away
20900447,0,away
20900448,15,home
20900449,-11,away
20900450,5,home
20900451,4,home
20900452,-11,away
20900453,-12,away
20900454,-17,away
20900455,9,home
20900456,8,home
20900457,18,home
20900458,6,home
20900459,5,home
20900460,-11,away
20900461,25,home
20900462,4,home
20900463,9,home
20900464,-4,away
20900465,4,home
20900466,18,home
20900467,4,home
20900468,-10,away
20900469,-11,away
20900470,3,home
20900471,30,home
20900472,1,home
20900473,16,home
20900474,0,away
20900475,-12,away
20900476,1,home
20900477,-8,away
20900478,-10,away
20900479,11,home
20900480,-11,away
20900481,7,home
20900482,8,home
20900483,4,home
20900484,0,away
20900485,-25,away
20900486,-10,away
20900487,16,home
20900488,-8,away
20900489,-3,away
20900490,43,home
20900491,5,home
20900492,-3,away
20900493,35,home
20900494,17,home
20900495,-13,away
20900496,-4,away
20900497,10,home
20900498,5,home
20900499,7,home
20900500,-7,away
20900501,-22,away
20900502,5,home
20900503,1,home
20900504,-4,away
20900505,-4,away
20900506,9,home
20900507,30,home
20900508,23,home
20900509,-5,away
20900510,0,away
20900511,-6,away
20900512,-5,away
20900513,20,home
20900514,8,home
20900515,23,home
20900516,11,home
20900517,4,home
20900518,-2,away
20900519,7,home
20900520,8,home
20900521,2,home
20900522,7,home
20900523,4,home
